step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
825,3.75398,0.38462,,,,
826,0.81856,0.75,,,,
827,2.32626,0.59322,,,,
828,2.87645,0.6,,,,
829,1.57344,0.66667,,,,
830,2.11983,0.5,3.77122,0.39189,,
831,2.19957,0.52381,,,,
832,1.28652,0.7,,,,
833,0.91799,0.69231,,,,
834,0.76526,0.83333,,,,
835,1.9095,0.64706,,,,
836,0.93998,0.8,,,,
837,2.08035,0.5,,,,
838,3.59984,0.33333,,,,
839,1.81003,0.46667,,,,
840,1.43621,0.77273,4.69998,0.375,,
841,1.44106,0.61538,,,,
842,1.46239,0.56667,,,,
843,2.86228,0.57143,,,,
844,1.50972,0.68,,,,
845,1.98673,0.57692,,,,
846,1.65537,0.65957,,,,
847,1.43717,0.8,,,,
848,1.24544,0.72414,,,,
849,1.48837,0.67213,,,,
850,1.42343,0.61538,2.21913,0.63636,,
851,1.01905,0.8125,,,,
852,2.65443,0.46429,,,,
853,1.17047,0.71429,,,,
854,2.32536,0.48718,,,,
855,0.87099,0.81818,,,,
856,1.25324,0.77778,,,,
857,0.95009,0.81818,,,,
858,2.51764,0.44444,,,,
859,2.75133,0.625,,,,
860,2.36567,0.44444,3.22131,0.375,,
861,1.31782,0.70833,,,,
862,1.14893,0.75,,,,
863,4.08463,0.27778,,,,
864,1.78508,0.59091,,,,
865,2.44698,0.48718,,,,
866,2.10807,0.66667,,,,
867,5.08673,0.24,,,,
868,0.99654,0.81818,,,,
869,1.42959,0.67105,,,,
870,2.95335,0.53846,4.43705,0.125,,
871,2.00796,0.7,,,,
872,1.15935,0.84615,,,,
873,2.50829,0.5,,,,
874,1.7507,0.66667,,,,
875,2.9987,0.43243,,,,
876,2.26988,0.625,,,,
877,1.25685,0.81818,,,,
878,2.26297,0.54167,,,,
879,1.99256,0.625,,,,
880,2.50906,0.5,2.48027,0.6,,
881,1.10021,0.75676,,,,
882,1.10622,0.84615,,,,
883,0.93555,0.8125,,,,
884,1.89391,0.65,,,,
885,2.37391,0.43333,,,,
886,2.10749,0.6,,,,
887,1.23603,0.70667,,,,
888,1.02772,0.76,,,,
889,1.99631,0.51429,,,,
890,1.78629,0.69231,4.307,0.33333,,
891,2.43773,0.625,,,,
892,3.2912,0.40625,,,,
893,2.29759,0.46774,,,,
894,4.98506,0.19048,,,,
895,2.12571,0.6,,,,
896,2.8538,0.61111,,,,
897,1.90735,0.5625,,,,
898,3.58707,0.48276,,,,
899,2.86114,0.45,,,,
900,2.14974,0.5,3.61765,0.4,,
